key,doi,resolver,pdf_url,oa_status,pdf,pdf_bytes,txt,txt_chars,status,note
zhou2025generalscales,,arxiv,,oa,zhou2025generalscales.pdf,4052874,zhou2025generalscales.txt,367628,ok,
anthropic2025devday,,jina,,,,0,anthropic2025devday.txt,22426,text_only,host=wired.com
aschenbrenner2024situational,,,,,,0,aschenbrenner2024situational.txt,312500,text_only,host= url=
brynjolfsson2025gdpb,10.1257/mac.20210319,jina,,,,0,brynjolfsson2025gdpb.txt,1481,text_only,host=aeaweb.org
coupe2025impact,None,jina,,,,0,coupe2025impact.txt,2617,text_only,host=ideas.repec.org
dellacqua2023consultants,,jina,,,,0,dellacqua2023consultants.txt,2687,text_only,host=hbs.edu
dorn2025temporal,,jina,,,,0,dorn2025temporal.txt,10579,text_only,host=apartresearch.com
epoch2024optimallyallocating,,jina,,,,0,epoch2024optimallyallocating.txt,12252,text_only,host=epoch.ai
epoch2025howfarcanreasoningmodelsscale,,jina,,,,0,epoch2025howfarcanreasoningmodelsscale.txt,19648,text_only,host=epoch.ai
epoch2025llminferencepricetrends,,jina,,,,0,epoch2025llminferencepricetrends.txt,20051,text_only,host=epoch.ai
gao2024github,,jina,,,,0,gao2024github.txt,12254,text_only,host=github.blog
google2024codeai,,jina,,,,0,google2024codeai.txt,19925,text_only,host=fortune.com
google2025alphaevolve,,jina,,,,0,google2025alphaevolve.txt,12964,text_only,host=deepmind.google
hendrycks2021mmlu,,jina,,,,0,hendrycks2021mmlu.txt,8984,text_only,host=arxiv.org
oecd2025aicapabilityindicatorsfullreport,10.1787/be745f04-en,jina,,,,0,oecd2025aicapabilityindicatorsfullreport.txt,7604,text_only,host=doi.org
openai2024simpleqa,,jina,,,,0,openai2024simpleqa.txt,15095,text_only,host=openai.com
smith2024,,jina,,,,0,smith2024.txt,8703,text_only,host=noahpinion.blog
sutton2019bitter,,jina,,,,0,sutton2019bitter.txt,6843,text_only,host=incompleteideas.net
trammell2023economic,,,,,,0,trammell2023economic.txt,79432,text_only,host= url=
valmeekam2024llms,,jina,,,,0,valmeekam2024llms.txt,7816,text_only,host=arxiv.org
